H_true,L,method,mean,std,atm3,n_used
0.1,1000,CP,0.09920838098727598,0.04934562407183063,0.00019371728290803932,10000
0.1,1000,DFA,0.13866841868315719,0.013701330412539962,4.129382337876369e-06,10000
0.1,1000,HFD,0.09993714262678526,0.02012428268774751,1.3090894499072564e-05,10000
0.1,1000,PSD,0.06101963937073494,0.15097468705426625,0.0055386685145333205,10000
0.1,1000,SVA,0.09960757078004433,0.019482294236532586,1.1913249885269387e-05,10000
0.1,2000,CP,0.09900019266640922,0.03490050887788859,6.761945265709684e-05,10000
0.1,2000,DFA,0.1291049560235741,0.009798652988356806,1.5037750108048995e-06,10000
0.1,2000,HFD,0.09959273225907674,0.014995879294214443,5.407637985039086e-06,10000
0.1,2000,PSD,0.06113079575546394,0.09292226432475142,0.0012703516563951553,10000
0.1,2000,SVA,0.09928315772725364,0.014599909718371825,4.992998794198557e-06,10000
0.1,5000,CP,0.09949546310390288,0.022086641364889806,1.7198343444325094e-05,10000
0.1,5000,DFA,0.120501591668476,0.006960685133903561,5.458252894891393e-07,10000
0.1,5000,HFD,0.09984405606767942,0.01135915877476366,2.3647507936750708e-06,10000
0.1,5000,PSD,0.06251609316082499,0.052993484006562,0.0002386947369798308,10000
0.1,5000,SVA,0.09960071097511262,0.010967106231171204,2.12922817077925e-06,10000
0.2,1000,CP,0.19890837320676333,0.04674005868111063,0.00016382914685999315,10000
0.2,1000,DFA,0.2280883679839809,0.02152427019726542,1.5968510177161625e-05,10000
0.2,1000,HFD,0.19933952679115519,0.030943188300799607,4.674415294063281e-05,10000
0.2,1000,PSD,0.20145131469401512,0.15022587040774493,0.005438266311936243,10000
0.2,1000,SVA,0.19830894564470272,0.029977266786729413,4.265688881553133e-05,10000
0.2,2000,CP,0.19975885563816265,0.03279974606246443,5.6649899944940576e-05,10000
0.2,2000,DFA,0.22033023877711344,0.015931975192626714,6.356036161762741e-06,10000
0.2,2000,HFD,0.19874140596277332,0.02357885921344479,2.087927107757643e-05,10000
0.2,2000,PSD,0.1934723404697692,0.09212893392325847,0.0012489193727597647,10000
0.2,2000,SVA,0.19797297528579771,0.022905372018902092,1.9140039337794117e-05,10000
0.2,5000,CP,0.19969657666585855,0.021083864069404944,1.4998259860697794e-05,10000
0.2,5000,DFA,0.2140911661142707,0.011559697531525089,2.4610789959880844e-06,10000
0.2,5000,HFD,0.19924480261125185,0.01773606621963095,8.825424529890213e-06,10000
0.2,5000,PSD,0.1910243403034793,0.051769235376351114,0.00022159835625427214,10000
0.2,5000,SVA,0.1986569382766702,0.01701021141864039,7.77228166813098e-06,10000
0.3,1000,CP,0.29919462423030263,0.04357092733938722,0.00013251926502454807,10000
0.3,1000,DFA,0.319606416315323,0.027981204072956924,3.500273072163647e-05,10000
0.3,1000,HFD,0.2985191219839094,0.03778431593212315,8.588680836610662e-05,10000
0.3,1000,PSD,0.31778541525745324,0.15216188827172486,0.005702037911615235,10000
0.3,1000,SVA,0.29708375387999725,0.03648350571980303,7.748900247830265e-05,10000
0.3,2000,CP,0.2994209036627538,0.030501154988301096,4.598127334393477e-05,10000
0.3,2000,DFA,0.3141956581827202,0.020826503000444866,1.435788566817066e-05,10000
0.3,2000,HFD,0.29884138740322896,0.029261225876620403,3.951920895178821e-05,10000
0.3,2000,PSD,0.30852181851494814,0.09336913187513526,0.0012798947911168766,10000
0.3,2000,SVA,0.29768695846963694,0.028373472196102027,3.6038489308890135e-05,10000
0.3,5000,CP,0.29961307306042106,0.019249132943313173,1.1353588646017558e-05,10000
0.3,5000,DFA,0.3096449310828617,0.015116285575391717,5.512182476371351e-06,10000
0.3,5000,HFD,0.29926894970139883,0.022497453587952566,1.810778095406077e-05,10000
0.3,5000,PSD,0.30071105706163287,0.051354717972035516,0.0002150105725894173,10000
0.3,5000,SVA,0.2983702522962025,0.021531327778983582,1.585159729758125e-05,10000
0.4,1000,CP,0.39879780055010616,0.0405159186215834,0.00010625139425235313,10000
0.4,1000,DFA,0.41335811204891487,0.03319878513826186,5.7770477960638425e-05,10000
0.4,1000,HFD,0.3974535848470435,0.042655224656045196,0.00012399274675586628,10000
0.4,1000,PSD,0.4278930316141487,0.14920682681888997,0.005311300576912782,10000
0.4,1000,SVA,0.3956465529923017,0.04084773526033214,0.00010839947653297393,10000
0.4,2000,CP,0.39928179066938146,0.027671213656280252,3.3940477800022194e-05,10000
0.4,2000,DFA,0.40990905430631647,0.025255390210681003,2.5627541583721375e-05,10000
0.4,2000,HFD,0.39776487325655074,0.033512899316362026,6.037346375974545e-05,10000
0.4,2000,PSD,0.41342391229185715,0.09265178056991512,0.0012851196463413948,10000
0.4,2000,SVA,0.39627490959358436,0.03224515667724218,5.368193317804222e-05,10000
0.4,5000,CP,0.3999974619626886,0.01796417652331389,9.27252470077811e-06,10000
0.4,5000,DFA,0.4060644864149162,0.018197045259632852,9.546804398450127e-06,10000
0.4,5000,HFD,0.39808668024171767,0.026033165092701777,2.811753375183184e-05,10000
0.4,5000,PSD,0.4042428757759776,0.05146783393241355,0.00021785492075660629,10000
0.4,5000,SVA,0.3970042198260169,0.024833854630918036,2.4426597726523557e-05,10000
